x,y,z,timestamp
-0.61,0.18,0.06,2025-09-02 18:14:45.622
-0.61,0.18,0.0,2025-09-02 18:14:46.651
-0.61,0.18,0.0,2025-09-02 18:14:47.472
-0.55,0.18,0.06,2025-09-02 18:14:48.492
-0.61,0.18,0.0,2025-09-02 18:14:49.512
-0.61,0.18,0.0,2025-09-02 18:14:50.542
-0.55,0.18,0.06,2025-09-02 18:14:51.567
-0.55,0.18,0.0,2025-09-02 18:14:52.587
-0.61,0.18,0.0,2025-09-02 18:14:53.607
-0.55,0.18,0.0,2025-09-02 18:14:54.637
-0.61,0.18,0.0,2025-09-02 18:14:55.657
-0.61,0.24,0.06,2025-09-02 18:14:56.682
-0.61,0.18,0.0,2025-09-02 18:14:57.501
-0.55,0.18,0.0,2025-09-02 18:14:58.522
-0.67,0.24,0.0,2025-09-02 18:14:59.552
-0.61,0.18,0.0,2025-09-02 18:15:00.572
-0.61,0.18,0.0,2025-09-02 18:15:01.603
-0.55,0.18,0.06,2025-09-02 18:15:02.626
-0.55,0.18,0.0,2025-09-02 18:15:03.650
-0.55,0.18,0.0,2025-09-02 18:15:04.667
-0.55,0.18,0.0,2025-09-02 18:15:05.703
-0.55,0.18,0.0,2025-09-02 18:15:06.721
-0.61,0.18,0.0,2025-09-02 18:15:07.543
-0.55,0.18,0.0,2025-09-02 18:15:08.564
-0.61,0.18,0.06,2025-09-02 18:15:09.582
-0.55,0.24,0.06,2025-09-02 18:15:10.611
-0.61,0.18,0.06,2025-09-02 18:15:11.641
-0.61,0.18,0.06,2025-09-02 18:15:12.662
-0.55,0.18,0.06,2025-09-02 18:15:13.676
-0.55,0.18,0.0,2025-09-02 18:15:14.702
-0.61,0.24,0.06,2025-09-02 18:15:15.726
-0.55,0.18,0.0,2025-09-02 18:15:16.751
-0.61,0.18,0.0,2025-09-02 18:15:17.781
-0.61,0.18,0.0,2025-09-02 18:15:18.601
-0.61,0.24,0.0,2025-09-02 18:15:19.621
-0.67,0.24,0.0,2025-09-02 18:15:20.641
-0.55,0.18,0.0,2025-09-02 18:15:21.671
-0.55,0.24,0.0,2025-09-02 18:15:22.691
-0.55,0.18,0.0,2025-09-02 18:15:23.716
-0.61,0.24,0.0,2025-09-02 18:15:24.741
-0.55,0.18,0.0,2025-09-02 18:15:25.771
-0.55,0.18,0.0,2025-09-02 18:15:26.792
-0.55,0.18,0.0,2025-09-02 18:15:27.811
-0.55,0.18,0.0,2025-09-02 18:15:28.631
-0.61,0.24,0.06,2025-09-02 18:15:29.652
-0.61,0.24,0.0,2025-09-02 18:15:30.681
-0.55,0.18,0.0,2025-09-02 18:15:31.701
-0.55,0.18,0.0,2025-09-02 18:15:32.731
-0.55,0.18,0.0,2025-09-02 18:15:33.752
-0.61,0.18,0.0,2025-09-02 18:15:34.776
-0.55,0.18,0.0,2025-09-02 18:15:35.796
