20250801170819,0.07,-0.04,1.01
20250801170824,0.07,-0.04,1.01
20250801170829,0.82,0.61,0.16
20250801170834,0.32,-0.32,0.90
20250801170839,0.59,0.31,0.69
20250801170844,-0.05,0.53,0.85
20250801170849,0.90,-0.25,0.48
20250801170854,0.91,0.05,0.43
20250801170859,0.14,0.37,0.96
20250801170904,0.01,0.35,0.95
20250801170909,0.00,0.34,0.95
20250801170914,0.92,-0.46,0.40
20250801170919,0.26,0.39,0.90
20250801170924,0.85,0.03,0.58
20250801170929,0.07,-0.18,1.00
20250801170934,-0.06,-0.20,1.00
20250801170939,0.37,-0.52,0.74
20250801170944,0.44,-0.18,0.91
20250801170949,0.44,0.04,0.89
20250801170954,0.26,-0.00,0.93
20250801170959,0.45,-0.15,0.90
20250801171004,0.45,-0.20,0.95
20250801171009,0.81,0.13,0.61
20250801171015,0.60,0.04,0.83
20250801171020,0.60,-0.42,0.71
20250801171025,0.20,0.00,0.99
20250801171030,0.11,0.17,0.98
20250801171035,0.28,-0.01,0.95
20250801171040,0.73,0.04,0.75
20250801171045,1.26,-0.81,0.22
20250801171050,0.94,0.22,0.27
20250801171055,0.75,0.64,0.20
20250801171100,-0.04,0.18,1.00
20250801171105,0.12,0.06,0.95
20250801171110,0.40,0.26,0.76
20250801171115,0.50,0.42,0.78
20250801171120,0.51,0.42,0.78
20250801171125,0.34,0.15,0.95
20250801171130,0.71,0.50,0.75
20250801171135,0.69,0.22,0.73
20250801171140,0.74,0.21,0.67
20250801171145,0.92,0.21,0.41
20250801171150,0.88,0.12,0.50
20250801171155,0.92,0.01,0.46
20250801171200,0.83,0.14,0.59
20250801171205,0.83,0.16,0.59
20250801171210,0.91,0.04,0.46
20250801171216,0.84,0.09,0.63
20250801171221,0.80,0.07,0.64
20250801171226,0.80,0.03,0.62
20250801171231,0.81,0.03,0.61
20250801171236,0.81,0.03,0.61
20250801171241,0.82,0.04,0.62
20250801171246,0.83,0.28,0.55
20250801171251,0.86,-0.20,0.55
20250801171256,0.85,-0.22,0.53
20250801171301,0.95,0.26,0.40
20250801171306,0.10,0.42,0.92
20250801171311,0.85,-0.46,0.30
20250801171316,0.85,-0.50,0.28
20250801171321,-0.09,-0.36,1.11
20250801171326,0.43,-0.38,0.95
20250801171331,0.56,-0.03,0.82
20250801171336,0.42,-0.09,0.92
20250801171341,0.37,-0.06,0.93
20250801171346,0.36,-0.06,0.93
20250801171351,0.36,-0.03,0.95
20250801171356,0.74,0.22,0.79
20250801171401,0.05,0.02,1.00
20250801171406,0.05,0.01,1.01
20250801171411,0.05,0.01,1.01
20250801171416,0.05,0.01,1.01
20250801171422,0.05,0.01,1.01
20250801171427,0.05,0.01,1.01
20250801171432,0.05,0.01,1.01
20250801171437,0.05,0.01,1.01
20250801171442,0.05,0.01,1.01
20250801171447,0.37,-0.89,0.24
20250801171452,0.32,-0.80,0.46
20250801171457,0.43,0.86,-0.11
20250801171502,0.79,-0.40,0.48
20250801171507,0.73,-0.38,0.59
20250801171512,0.88,-0.11,0.50
20250801171517,0.87,-0.06,0.48
20250801171522,0.83,-0.34,0.51
20250801171527,0.83,0.29,0.49
20250801171532,0.84,0.07,0.60
20250801171537,0.82,0.27,0.53
20250801171542,0.84,-0.47,0.32
20250801171547,0.84,-0.48,0.29
20250801171552,0.61,-0.49,0.91
20250801171557,0.78,-0.41,0.51
20250801171602,0.81,-0.39,0.51
20250801171607,0.82,-0.36,0.48
20250801171612,0.50,-0.17,0.85
20250801171617,0.58,-0.18,0.85
20250801171623,0.50,0.38,0.78
20250801171628,0.60,-0.26,0.77
20250801171633,0.61,-0.19,0.89
20250801171638,0.66,-0.14,0.78
20250801171643,0.48,-0.34,0.84
20250801171648,0.34,-0.22,0.94
20250801171653,0.24,-0.42,0.81
20250801171658,0.44,-0.39,0.82
20250801171703,0.47,-0.58,0.69
20250801171708,0.47,-0.47,0.76
20250801171713,0.57,-0.36,0.76
20250801171718,0.37,-0.41,0.83
20250801171723,0.60,-0.68,0.38
20250801171728,0.61,-0.68,0.46
20250801171733,0.20,-0.35,0.96
20250801171738,-0.16,0.08,0.97
20250801171743,-0.15,-1.23,-0.37
20250801171748,0.14,-0.54,-0.80
20250801171753,-0.23,-0.78,0.41
20250801171758,-0.14,-0.39,0.87
20250801171803,-0.22,-0.44,0.84
20250801171808,-0.28,-0.38,0.89
20250801171813,0.15,0.02,1.02
20250801171818,0.12,0.05,1.01
20250801171823,0.55,0.22,0.83
20250801171829,0.33,0.59,1.18
20250801171834,0.42,0.30,0.90
