20250724224505,82.00,19.60
20250724224515,82.60,19.60
20250724224525,83.40,19.60
20250724224535,83.40,19.60
20250724224545,81.80,19.60
20250724224555,81.20,19.40
20250724224605,81.00,19.30
20250724224615,81.10,19.20
20250724224625,81.30,19.10
20250724224635,81.50,18.90
20250724224645,81.60,18.80
20250724224655,81.90,18.70
20250724224705,82.10,18.60
20250724224715,82.40,18.50
20250724224725,82.60,18.50
20250724224735,82.80,18.40
20250724224745,83.10,18.30
20250724224755,83.30,18.20
20250724224805,83.40,18.20
20250724224815,83.50,18.10
20250724224825,83.80,18.00
20250724224835,84.10,18.00
20250724224845,84.30,17.90
20250724224855,84.30,17.90
20250724224905,84.40,17.80
20250724224915,84.60,17.80
20250724224925,84.70,17.70
20250724224935,84.80,17.70
20250724224945,84.90,17.70
20250724224955,84.90,17.60
20250724225005,85.10,17.60
20250724225015,85.10,17.60
20250724225025,85.20,17.60
20250724225035,85.40,17.50
20250724225045,85.50,17.50
20250724225055,85.50,17.50
20250724225105,85.50,17.50
20250724225115,85.60,17.40
20250724225125,85.70,17.40
20250724225135,85.70,17.40
20250724225145,85.70,17.30
20250724225155,85.80,17.30
20250724225205,85.90,17.30
20250724225215,86.00,17.30
20250724225225,86.10,17.30
20250724225235,86.20,17.20
20250724225245,86.20,17.20
20250724225255,86.20,17.20
20250724225305,86.30,17.20
20250724225315,86.30,17.20
20250724225325,86.40,17.20
20250724225335,86.50,17.20
20250724225345,86.60,17.20
20250724225355,86.50,17.20
20250724225405,86.60,17.20
20250724225415,86.70,17.20
20250724225425,86.70,17.10
20250724225435,86.70,17.10
20250724225445,86.80,17.10
20250724225455,100.00,17.50
20250724225505,100.00,18.00
20250724225515,100.00,17.90
20250724225525,100.00,17.80
20250724225535,100.00,17.70
20250724225545,99.40,17.60
20250724225555,97.20,17.60
20250724225605,94.90,17.60
20250724225615,92.90,17.50
20250724225625,91.60,17.50
20250724225635,90.60,17.40
20250724225645,90.40,17.40
20250724225655,89.80,17.40
20250724225705,89.40,17.30
20250724225715,89.00,17.30
20250724225725,88.80,17.30
20250724225735,88.50,17.30
20250724225745,88.40,17.20
20250724225755,88.30,17.20
20250724225805,88.40,17.20
20250724225815,100.00,17.30
20250724225825,99.20,17.30
20250724225835,94.10,17.30
20250724225845,91.60,17.30
20250724225855,90.20,17.30
20250724225905,89.10,17.30
20250724225915,89.30,17.30
20250724225925,88.80,17.20
20250724225936,88.60,17.20
20250724225946,88.40,17.20
20250724225956,100.00,17.30
20250724230006,94.90,17.40
20250724230016,92.70,17.40
20250724230026,90.40,17.40
20250724230036,89.50,17.30
20250724230046,89.00,17.30
20250724230056,88.70,17.30
20250724230106,88.50,17.30
20250724230116,88.20,17.20
20250724230140,88.20,17.20
20250724230140,88.10,17.20
20250724230146,88.10,17.20
20250724230156,87.60,17.20
20250724230206,87.70,17.20
20250724230216,87.80,17.20
20250724230226,87.80,17.20
20250724230236,88.10,17.10
20250724230246,88.00,17.10
20250724230256,100.00,17.20
20250724230306,100.00,17.40
20250724230316,100.00,17.40
20250724230326,100.00,17.40
20250724230336,97.30,17.30
20250724230346,100.00,17.20
20250724230356,100.00,17.20
20250724230406,100.00,17.10
20250724230416,99.30,17.00
20250724230426,99.00,16.90
20250724230436,96.80,16.80
20250724230446,97.50,16.70
20250724230456,97.20,16.70
20250724230506,97.70,16.60
20250724230516,96.80,16.60
20250724230526,97.00,16.60
20250724230536,98.30,16.50
20250724230546,98.30,16.50
20250724230556,98.10,16.50
20250724230606,98.50,16.40
20250724230616,98.50,16.40
20250724230626,99.10,16.40
20250724230636,98.50,16.30
20250724230646,99.10,16.30
20250724230656,98.40,16.30
20250724230706,99.80,16.20
20250724230716,99.10,16.20
20250724230726,99.10,16.20
20250724230736,97.70,16.20
20250724230746,97.80,16.20
20250724230756,99.20,16.20
20250724230806,98.40,16.20
20250724230816,98.00,16.20
20250724230826,97.70,16.20
20250724230836,98.30,16.20
20250724230846,98.70,16.20
20250724230856,97.90,16.20
20250724230906,98.80,16.20
20250724230916,98.60,16.20
20250724230926,96.60,16.20
20250724230936,97.90,16.20
20250724230946,97.20,16.20
20250724230956,96.40,16.20
20250724231006,96.70,16.20
20250724231016,96.10,16.20
20250724231026,94.90,16.20
20250724231036,94.80,16.20
20250724231046,95.70,16.30
20250724231056,99.40,16.20
20250724231106,98.80,16.20
20250724231116,99.40,16.20
20250724231126,99.20,16.10
20250724231136,99.80,16.10
20250724231146,99.70,16.10
20250724231156,98.80,16.10
20250724231206,98.20,16.10
20250724231216,99.00,16.10
20250724231226,99.70,16.10
20250724231236,99.40,16.10
20250724231246,99.90,16.10
20250724231256,98.50,16.10
20250724231306,98.60,16.00
20250724231316,99.20,16.00
20250724231326,99.40,16.00
20250724231336,98.90,16.00
20250724231346,98.60,16.00
20250724231356,99.60,16.00
20250724231406,98.70,16.00
20250724231416,99.30,16.00
20250724231426,98.80,16.00
20250724231436,98.80,16.00
20250724231446,100.00,16.00
20250724231456,100.00,16.00
20250724231506,98.70,16.00
20250724231516,97.30,16.00
