timestamp,accMagnitude,alarmLED
2025-08-14 22:24:03,1.01,0
2025-08-14 22:24:03,1.01,0
2025-08-14 22:24:04,1.01,0
2025-08-14 22:24:04,1.01,0
2025-08-14 22:24:05,1.01,0
2025-08-14 22:24:05,1.10,0
2025-08-14 22:24:06,2.44,1
2025-08-14 22:24:06,0.93,0
2025-08-14 22:24:07,1.46,0
2025-08-14 22:24:08,0.75,0
2025-08-14 22:24:08,1.98,1
2025-08-14 22:24:09,1.70,1
2025-08-14 22:24:09,1.26,0
2025-08-14 22:24:10,0.86,0
2025-08-14 22:24:10,0.95,0
2025-08-14 22:24:11,0.80,0
2025-08-14 22:24:11,1.88,1
2025-08-14 22:24:12,1.65,1
2025-08-14 22:24:12,0.79,0
2025-08-14 22:24:13,1.05,0
2025-08-14 22:24:14,1.11,0
2025-08-14 22:24:14,1.05,0
2025-08-14 22:24:15,1.16,0
2025-08-14 22:24:15,1.00,0
2025-08-14 22:24:16,0.94,0
2025-08-14 22:24:16,0.70,0
2025-08-14 22:24:17,0.43,0
2025-08-14 22:24:17,1.19,0
2025-08-14 22:24:18,0.83,0
2025-08-14 22:24:18,1.23,0
2025-08-14 22:24:19,1.25,0
2025-08-14 22:24:20,0.97,0
2025-08-14 22:24:20,1.19,0
2025-08-14 22:24:21,1.67,1
2025-08-14 22:24:21,1.49,0
2025-08-14 22:24:22,2.34,1
2025-08-14 22:24:22,2.59,1
2025-08-14 22:24:23,1.59,1
2025-08-14 22:24:23,0.84,0
2025-08-14 22:24:24,1.12,0
2025-08-14 22:24:25,1.70,1
2025-08-14 22:24:25,1.74,1
2025-08-14 22:24:26,0.73,0
2025-08-14 22:24:26,1.11,0
2025-08-14 22:24:27,0.70,0
2025-08-14 22:24:27,1.84,1
2025-08-14 22:24:28,1.14,0
2025-08-14 22:24:28,1.22,0
2025-08-14 22:24:29,0.71,0
2025-08-14 22:24:29,0.96,0
2025-08-14 22:24:30,0.96,0
2025-08-14 22:24:31,1.63,1
2025-08-14 22:24:31,2.40,1
2025-08-14 22:24:32,1.35,0
2025-08-14 22:24:32,0.66,0
2025-08-14 22:24:33,1.14,0
2025-08-14 22:24:33,1.15,0
2025-08-14 22:24:34,1.17,0
2025-08-14 22:24:34,0.97,0
2025-08-14 22:24:35,1.97,1
2025-08-14 22:24:35,0.86,0
2025-08-14 22:24:36,1.20,0
2025-08-14 22:24:37,0.73,0
2025-08-14 22:24:37,1.25,0
2025-08-14 22:24:38,1.10,0
2025-08-14 22:24:38,1.11,0
2025-08-14 22:24:39,1.09,0
2025-08-14 22:24:39,1.38,0
2025-08-14 22:24:40,0.76,0
2025-08-14 22:24:40,1.34,0
2025-08-14 22:24:41,0.82,0
2025-08-14 22:24:41,1.53,1
2025-08-14 22:24:42,1.25,0
2025-08-14 22:24:43,1.13,0
2025-08-14 22:24:43,0.84,0
2025-08-14 22:24:44,1.21,0
2025-08-14 22:24:44,1.73,1
2025-08-14 22:24:45,1.13,0
2025-08-14 22:24:45,1.35,0
2025-08-14 22:24:46,1.78,1
2025-08-14 22:24:46,1.22,0
2025-08-14 22:24:47,1.56,1
2025-08-14 22:24:48,1.58,1
2025-08-14 22:24:48,2.06,1
2025-08-14 22:24:49,0.56,0
2025-08-14 22:24:49,1.74,1
2025-08-14 22:24:50,0.58,0
2025-08-14 22:24:50,1.32,0
2025-08-14 22:24:51,0.94,0
2025-08-14 22:24:51,1.09,0
2025-08-14 22:24:52,2.14,1
2025-08-14 22:24:52,0.69,0
2025-08-14 22:24:53,1.33,0
2025-08-14 22:24:54,1.19,0
2025-08-14 22:24:54,2.50,1
2025-08-14 22:24:55,1.51,1
2025-08-14 22:24:55,0.70,0
2025-08-14 22:24:56,0.98,0
2025-08-14 22:24:56,1.51,1
2025-08-14 22:24:57,1.11,0
2025-08-14 22:24:57,1.25,0
2025-08-14 22:24:58,1.37,0
2025-08-14 22:24:58,1.70,1
2025-08-14 22:24:59,1.46,0
2025-08-14 22:25:00,1.03,0
2025-08-14 22:25:00,1.30,0
2025-08-14 22:25:01,0.93,0
2025-08-14 22:25:01,1.02,0
2025-08-14 22:25:02,1.37,0
2025-08-14 22:25:02,2.35,1
2025-08-14 22:25:03,1.15,0
